file_path,label
./train1/a1.wav,2
./train1/a12.wav,2
./train1/a15.wav,2
./train1/a17.wav,2
./train1/a41.wav,2
./train1/a47.wav,2
./train1/a62.wav,2
./train1/a86.wav,2
./train1/a91.wav,2
./train1/a102.wav,2
./train1/a139.wav,2
./train1/a149.wav,2
./train1/a188.wav,2
./train1/a204.wav,2
./train1/a211.wav,2
./train1/a223.wav,2
./train1/a238.wav,2
./train1/a251.wav,2
./train1/a257.wav,2
./train1/a269.wav,2
./train1/a278.wav,2
./train1/a290.wav,2
./train1/a292.wav,2
./train1/a337.wav,2
./train1/a373.wav,2
./train1/a405.wav,2
./train1/a428.wav,2
./train1/a479.wav,2
./train1/b8.wav,3
./train1/b46.wav,3
./train1/b48.wav,3
./train1/b49.wav,3
./train1/b74.wav,3
./train1/b124.wav,3
./train1/b225.wav,3
./train1/b261.wav,3
./train1/b270.wav,3
./train1/b282.wav,3
./train1/b294.wav,3
./train1/b322.wav,3
./train1/b350.wav,3
./train1/b417.wav,3
./train1/b422.wav,3
./train1/backspace147.wav,0
./train1/backspace264.wav,0
./train1/backspace359.wav,0
./train1/c21.wav,4
./train1/c56.wav,4
./train1/c372.wav,4
./train1/c456.wav,4
./train1/c462.wav,4
./train1/c469.wav,4
./train1/d0.wav,5
./train1/d11.wav,5
./train1/d64.wav,5
./train1/d126.wav,5
./train1/d161.wav,5
./train1/d202.wav,5
./train1/d221.wav,5
./train1/d240.wav,5
./train1/d259.wav,5
./train1/d289.wav,5
./train1/d356.wav,5
./train1/d400.wav,5
./train1/d409.wav,5
./train1/d487.wav,5
./train1/e9.wav,6
./train1/e28.wav,6
./train1/e40.wav,6
./train1/e71.wav,6
./train1/e72.wav,6
./train1/e79.wav,6
./train1/e85.wav,6
./train1/e88.wav,6
./train1/e94.wav,6
./train1/e97.wav,6
./train1/e105.wav,6
./train1/e115.wav,6
./train1/e120.wav,6
./train1/e125.wav,6
./train1/e131.wav,6
./train1/e141.wav,6
./train1/e151.wav,6
./train1/e156.wav,6
./train1/e190.wav,6
./train1/e199.wav,6
./train1/e203.wav,6
./train1/e213.wav,6
./train1/e222.wav,6
./train1/e226.wav,6
./train1/e229.wav,6
./train1/e245.wav,6
./train1/e248.wav,6
./train1/e262.wav,6
./train1/e272.wav,6
./train1/e280.wav,6
./train1/e283.wav,6
./train1/e286.wav,6
./train1/e306.wav,6
./train1/e310.wav,6
./train1/e314.wav,6
./train1/e351.wav,6
./train1/e360.wav,6
./train1/e377.wav,6
./train1/e407.wav,6
./train1/e412.wav,6
./train1/e418.wav,6
./train1/e430.wav,6
./train1/e432.wav,6
./train1/e463.wav,6
./train1/e467.wav,6
./train1/e475.wav,6
./train1/e486.wav,6
./train1/f109.wav,7
./train1/f146.wav,7
./train1/f167.wav,7
./train1/f368.wav,7
./train1/f478.wav,7
./train1/g6.wav,8
./train1/g26.wav,8
./train1/g37.wav,8
./train1/g53.wav,8
./train1/g87.wav,8
./train1/g112.wav,8
./train1/g119.wav,8
./train1/g236.wav,8
./train1/g246.wav,8
./train1/g267.wav,8
./train1/g301.wav,8
./train1/g353.wav,8
./train1/g364.wav,8
./train1/g376.wav,8
./train1/h22.wav,9
./train1/h78.wav,9
./train1/h113.wav,9
./train1/h130.wav,9
./train1/h138.wav,9
./train1/h172.wav,9
./train1/h187.wav,9
./train1/h216.wav,9
./train1/h305.wav,9
./train1/h336.wav,9
./train1/h341.wav,9
./train1/h365.wav,9
./train1/h396.wav,9
./train1/h404.wav,9
./train1/h427.wav,9
./train1/h445.wav,9
./train1/h466.wav,9
./train1/i4.wav,10
./train1/i27.wav,10
./train1/i35.wav,10
./train1/i51.wav,10
./train1/i63.wav,10
./train1/i111.wav,10
./train1/i117.wav,10
./train1/i127.wav,10
./train1/i173.wav,10
./train1/i185.wav,10
